1d100	特征-犬类
1	阿博特 当熊地精出没时，背毛竖起，牙齿外露 Abbot Back bristles and Teeth Bare when Bugbears are afoot
2	阿西姆 每天同一时间狂吠不止，直到喂食 Athym Barks up a Storm at the same time every Day, until Fed
3	巴尔德 必定直奔宝藏中最珍贵的宝石/珠宝 Baldre Beelines for the most valuable Gem/Jewelry within a Hoard without fail
4	"巴福 湿漉漉的“亲吻”和鼻吻每天可恢复1点生命值 Barefote Big, wet ""Kisses"" and Muzzle Nuzzles can restore 1 hp/day"
5	美丽 拥有闪现犬的血统，可惜只在害怕或士气检定失败时激活 Beaut Blink Dog Blood, sadly only activates when Scared/fail a Morale Check
6	贝尔弗里 响亮的吠叫/嚎叫几乎能传遍整个六角格 Belfry Booming, Resounding Bark/Howl can be heard for nearly a Hex
7	无辜 因患犬瘟热而几乎无牙，可怜的家伙 Blameless Bout with Distemper rendered them mostly Toothless. Poor thing
8	博斯特 为舒适而培育：躺下时几乎变成枕头 Boster Bred for Comfort: When lying down Puddles into almost a Pillow
9	男孩 能用后腿行走，按命令跳舞或够到高处物品 Boy Can walk on Hind Legs, Dance/Reach High Objects on Command
10	布拉格 犬类中的变形怪：每天可改变自身一次 Bragger Canine Equivilent of a Doppelgänger: Can alter self 1/day
11	布鲁特 对儿童和半身人温柔体贴，但会激烈保护 Brute Caring and Gentle with Children and Halflings, but will Violently Defend
12	坎特 不到一小时就能咬断手臂粗的绳子 Cantor Chewed through a Rope as Thick as your Arm in less than an Hour
13	捕咒 爪子和牙齿视为魔法/寒铁：眼神非常聪慧 Catch-Curse Claws and Teeth count as Magic/Cold Iron: Very Intelligent Eyes
14	捕快 用豺狼人语命令它，它会以同样语言回应 Catch-Fast Commanded to Speak in Gnoll, responds in kind
15	挑战 不断挑战权威：自认为是主人 Challenge Constantly Testing Authority: Thinks they're the Master here
16	克劳德 对拔河有着深厚的热爱，使其在绳索方面出奇地好 Clowder Deep abiding love of Tug-of-War makes them surprisingly good with Ropes
17	克林克 尽管主人尽力阻止：仍会滑稽地随任何歌曲或音乐嚎叫 Clynker Despite Owner's best intentions: Hilariously Howls along to any Song or Music
18	征服者 廉价、邋遢的杂种狗：学习速度快，训练时间/成本减半 Conqueror Dirt Cheap, Mangy Cur: Quick Learner Trains in half time/cost
19	伯爵夫人 拖着一根被啃得不成样子的木棍，即使丢弃也会再次出现 Countess Drags around a thoroughly gnawed Stick, same one turns up even if discarded
20	螃蟹 容易被火吓倒，可能曾被烧伤或烫伤 Crab Easily cowed by Fire, must have been singed or burnt at one point
21	爬行者 吃最奇怪的东西却毫发无伤 Creeper Eats the strangest things with no Harm coming to them
22	库尔柳 见过狗啃洋葱吗？现在你会经常看到 Curlew Ever seen a Dog Gnaw an Onion? Well, you'll be seeing lots of it now
23	匕首 出色的跳跃者：能跃出惊人的距离和高度 Dagger Excellent Leaper: Surprising Distances and Heights achievable
24	道瑟 舔脸狂，需要更多训练来停止对遇到的每个人跳起来 Dowser Face Licker, needs more Training to stop Jumping up on Everyone they meet
25	龙 喜欢假装受伤以引起注意，挠几下就能奇迹般地痊愈 Dragon Fond of feigning Injury for attention, a few skritches will miraculously Heal
26	公爵夫人 因神秘原因：唾液视为圣水 Duchess For Esoteric Reasons: Saliva counts as Holy Water
27	厄戈 前魔宠：学会了命令词“坐下”和每月一次召唤兔子 Ergo Former Familiar: Picked up Command Word: Sit and Summon Rabbit 1/month
28	告别 口臭有一个好处：能唤醒被食尸鬼麻痹的人（新豁免） Farewell Foul Breath has one upside: Can rouse the Ghoul Paralyzed (new Save)
29	寻好 瘦骨嶙峋，皮毛斑驳，无需进食，眼神阴郁（忠诚不渝） Findwell Gaunt with Patchy Fur, Never Needs To Eat, Baleful Eyes (Undyingly Loyal)
30	奉承者 魔杖啃咬者：无法满足。2/6几率获得充能/能力 Flatterer Gnawer of Wands: Can't get enough. 2-in-6 Chance gains charges/powers
31	弗利特 黄金寻回犬：擅长用牙齿搬运小袋子 Flit Gold Retriever: Knows their way around schlepping Small Sacks in Teeth
32	弗林格 对戴帽子的人咆哮，允许闻和舔后停止 Flynger Growls at anyone wearing Hats, stops if allowed to Smell and Lick them
33	加特 讨厌独处，能在d4回合内彻底毁掉一个房间 Garter Hates being Left Alone, can completely wreck a Room in d4 Turns
34	温柔 地狱犬血统：在篝火中打滚，火焰无法伤害它 Gentle Hellhound Blooded: Rolls around in Campfires, Flame cannot Harm them
35	先行者 草药师的朋友：敏锐的鼻子增加找到某些植物的几率 Go-Before Herbalist's Friend: Keen Nose increases chances for Certain Plants
36	戈尔贡 每天早上藏起主人的某件装备，有趣的游戏！ Gorgon Hides a certain piece of Owner's Gear every Morning, Fun Game!
37	格温迪尔 如果被派去守卫门、入口或大门，能保持清醒长达一周 Gwndir If set to Guard a Door, Portal, or Gate, can remain awake for up to a Week
38	哈迪 无休止的拾取者：主人扔的任何东西，无法打破的习惯 Hardy Incessant Fetcher: Anything the Owner Throws, unbreakable habit
39	无害 本能地将受伤的盟友拖到安全的地方，如果可能的话 Harmless Instinctively drags Wounded Allies to Safety if Possible to do so
40	哈珀 叮当作响的项圈无法取下：只在阳光下吵闹 Harper Jingly Collar can't be Removed: It's only Noisy In Sunshine at least
41	海沃德 最乖的男孩/女孩：对邪恶生物的攻击视为神圣 Hayward Just the Goodest Boy/Girl: Attacks count as Holy on Evil Creatures
42	坚守者 腿长但异常安静：从未听过它咆哮 Hold-Fast Lanky Legged but Eerily Quiet at all times: Never heard it so much as Growl
43	赫尔巴克 传说中的骨头收藏者，对骷髅有1级驱散能力 Hurlebucke Legendary Bone-Hoarder free Level 1 Turning Attempt for Skeletons
44	小丑 热爱雪，似乎从不被寒冷或冰困扰（即使是魔法） Jester Loves Snow, never seems to be troubled by Cold or Ice (even Magic)
45	乔利 蹒跚的步态，湿了更糟：覆盖毛皮的发条自动装置 Jolly Lurching Gait, gets Worse when Wet: Clockwork Automaton covered in Fur
46	朱福 法师猎犬：通过法术气味追踪施法者。咬伤留下奥术标记 Juffo Magehound: Track Spellcasters by Scent from Spells. Bite leaves Arcane Mark
47	杀鹿 被这只狗埋藏的魔法物品在埋藏期间失去魔法 Kill-buck Magical Things Buried by this Dog cease to be Magical whilst Buried
48	国王 如果有人模仿射箭，它会戏剧性地装死 King Melodramatically Feigns Death if someone Mimes Shooting an Arrow at them
49	无赖 少了一条腿，依然欢快地蹦跳；寻找巨魔咬一口 Knave Missing a Leg, gambols along gamely; Seeks a Troll to Bite
50	劳工 在城市/定居点紧张，但热爱荒野和旅行 Labor Nervous in Cities/Settlements but Loves Wild Places and Journeys
51	无法无天 鼻子敏感到能区分石像鬼和雕像 Lawless Nose Sensitive Enough to distinguish between Gargoyles and Statues
52	轻足 不明显，但几周后会给你惊喜：2d4只小狗 Light-foot Not Readily Apparent, but in for a Surprise in a few weeks: 2d4 Puppies
53	潜伏者 一旦跳蚤被处理：非常感激的幼犬：在此之前每个人都会痒 Lurk Once the Fleas are dealt with: very grateful Pup: Everyone itches until then
54	快乐嘴 一只耷拉的耳朵：每周一次，耳语问题会得到一个单词的回答 Merry-Mouth One Floppy Ear: Whisper a Question and get a one word Response 1/week
55	莫兰特 只听从用中立语发出的命令 Moraunt Only follows Commands issued in Neutral
56	老鼠 神谕犬：面对刻有灰烬的棍子，能进行一些占卜 Mouse Oracular Mutt: Presented with Graven Ash Rods, can do a bit of Divination
57	无名 一对项圈：主人戴一个，可以分享表面想法 Nameless Pair of Collars: Owner wears one they can share Surface Thoughts
58	需要 挑剔的饮水者：避免任何有毒或寄生虫的东西 Needy Picky Drinker: Avoids anything with Poison or Parasites
59	鼻智 变形的幻术师，逐渐忘记自我：仍然会对它们吠叫 Nosewise Polymorphed Illusionist, slowly forgetting Self: Still barks at them though
